Age,Gender,Education,City,FavoriteTourismDest_india,FavoriteTourismDest_abroad
21,Female,Bachelors Or Lower,Chennai,Agra,London
21,Female,Bachelors Or Lower,Pune,Assam,Paris
26,Female,Masters,Chennai,Agra,Dubai
25,Male,Masters,Chennai,Agra,Dubai
26,Male,Bachelors Or Lower,Mumbai,Rajasthan,Pataya
28,Female,Masters,Mumbai,Assam,Zurich
28,Female,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Paris
21,Male,Bachelors Or Lower,Pune,Kerala,Pataya
26,Male,Bachelors Or Lower,Mumbai,Rajasthan,Zurich
26,Male,Bachelors Or Lower	,Bangalore,Jammu & Kashmir,Zurich
27,Female,Bachelors Or Lower,New Delhi,Agra,Paris
23,Female,Masters,Chennai,Agra,Toronto
23,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Helsinki
26,Male,Bachelors Or Lower,New Delhi,Rajasthan,Pataya
28,Male,Bachelors Or Lower,New Delhi,Kerala,Nordic Nations
24,Male,Bachelors Or Lower,New Delhi,Kerala,Kyiv
21,Male,Bachelors Or Lower,New Delhi,Agra,Paris
26,Female,Bachelors Or Lower,Pune,Assam,Paris
27,Female,Masters,Mumbai,Goa,Zurich
28,Female,Bachelors Or Lower	,Pune,Assam,Kyiv
28,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Zurich
26,Female,Bachelors Or Lower	,Pune,Assam,Jamaica
22,Female,Bachelors Or Lower,Pune,Assam,Dubai
27,Male,Bachelors Or Lower,New Delhi,Kerala,Kyiv
21,Female,Bachelors Or Lower,Pune,Assam,Jamaica
26,Male,Bachelors Or Lower	,New Delhi,Rajasthan,Zurich
23,Female,Masters,Chennai,Agra,Kyiv
21,Male,Bachelors Or Lower,Bangalore,Kerala,Kyiv
26,Male,Bachelors Or Lower,New Delhi,Rajasthan,Zurich
22,Male,Bachelors Or Lower,Chennai,Agra,Kyiv
22,Male,Bachelors Or Lower,Mumbai,Agra,Jamaica
28,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Kyiv
28,Male,Bachelors Or Lower,New Delhi,Rajasthan,Pataya
26,Female,Bachelors Or Lower,Pune,Kerala,Zurich
25,Female,Masters,Chennai,Agra,Jamaica
26,Male,Bachelors Or Lower,Bangalore,Jammu & Kashmir,Pataya
