Date;zn;sb;tax;marza
24.12.2017;1334,95;1903,82;284,07;284,8
27.12.2017;2154,04;2953,43;420,77;378,62
28.12.2017;2120,66;2914,02;397,22;396,14
29.12.2017;2280,09;3152,23;409,6;462,54
30.12.2017;3463,87;4823,36;629,44;730,05
31.12.2017;1761,74;2561,25;404,21;395,3
01.01.2018;1217,9;1770,28;284,98;267,4
02.01.2018;1994,54;2758,13;349,96;413,63
03.01.2018;2161,07;2972,24;371,92;439,25
04.01.2018;1990,31;2705,36;346,3;368,75
05.01.2018;3706,07;5086,59;604,85;775,67
06.01.2018;1433,94;2096,9;312,47;350,49
07.01.2018;1128,87;1547,66;226,34;192,45
08.01.2018;2428,43;3268,87;426,95;413,49
09.01.2018;2204,73;3079,31;402,68;471,9
10.01.2018;2429,82;3258,05;424,96;403,27
11.01.2018;1944,37;2693,39;341,73;407,29
12.01.2018;2548,01;3556,79;463,95;544,83
13.01.2018;2769,85;3879,42;481,97;627,6
14.01.2018;1402,86;1921,23;289,51;228,86
15.01.2018;2404,1;2845,07;380,92;60,05
16.01.2018;2259,8;2782,53;352,38;170,35
17.01.2018;2365,23;3003,17;375,2;262,74
18.01.2018;2717,3;3248,48;377,02;154,16
19.01.2018;2632,54;3478,17;442,09;403,54
20.01.2018;2976,79;4017,92;494,77;546,36
21.01.2018;1130,02;1644,11;243;271,09
22.01.2018;2488,23;2733,88;341,1;-95,45
23.01.2018;2087,14;2421,66;303,02;31,5
24.01.2018;2462,28;3146,68;411,8;272,6
25.01.2018;2210,85;2678,28;331,15;136,28
26.01.2018;2482,9;3253,28;397,47;372,91
27.01.2018;2712,46;3668;481,43;474,11
28.01.2018;1019,12;1454,72;215,69;219,91
29.01.2018;2528,64;2721,08;347,44;-155
30.01.2018;1871,75;2545,89;332,56;341,58
31.01.2018;2335,74;3002,04;373,34;292,96
01.02.2018;2257,26;2725,32;326,09;141,97
02.02.2018;2299,24;3096,93;408,39;389,3
03.02.2018;3155,6;4287,65;535,86;596,19
04.02.2018;1065,16;1460,04;208,98;185,9
05.02.2018;2384,47;2725,3;333,47;7,36
06.02.2018;1992,72;2513,54;326,83;193,99
07.02.2018;2092,75;2756,85;337,68;326,42
08.02.2018;2832,77;3363,98;429,53;101,68
09.02.2018;2460,1;3123,62;392,87;270,65
10.02.2018;2919,11;3963;500,29;543,6
11.02.2018;1217,88;1757,54;263,27;276,39
12.02.2018;2382,23;2793,07;352,18;58,66
13.02.2018;2391,07;3198,37;385,23;422,07
14.02.2018;2436,99;3157,78;379,23;341,56
15.02.2018;2365,59;3083,64;398,11;319,94
16.02.2018;2407,98;3147,8;403,36;336,46
17.02.2018;2788,49;4043,71;531,36;723,86
18.02.2018;1140,7;1612,03;236,95;234,38
19.02.2018;2523,98;2940,65;382,95;33,72
20.02.2018;2360,56;3014,4;386,98;266,86
21.02.2018;2230,18;3005,01;393,89;380,94
22.02.2018;2416,26;3055,68;374,93;264,49
23.02.2018;2401,78;3497,33;463,11;632,44
24.02.2018;2656,48;3842,31;480,25;705,58
25.02.2018;1134,22;1665,57;232,1;299,25
26.02.2018;2083,39;2973,1;357,4;532,31
27.02.2018;1830,62;2637,33;335,05;471,66
28.02.2018;1933,29;2786,81;347,72;505,8
01.03.2018;1852,25;2680,46;338,66;489,55
02.03.2018;1989,99;2887,8;344;553,81
03.03.2018;2472,97;3567,05;423,36;670,72
04.03.2018;1199,01;1753,97;245,9;309,06
05.03.2018;1902,65;2746;346,18;497,17
06.03.2018;1834,64;2619,29;345,02;439,63
07.03.2018;1957,29;2820,88;360,8;502,79
08.03.2018;2083,1;3000,42;411,94;505,38
09.03.2018;2175,99;3096,25;417,75;502,51
10.03.2018;2781,1;4022,61;517,5;724,01
11.03.2018;2873,67;4304,73;663,86;767,2
12.03.2018;1753,89;2513,36;313,81;445,66
13.03.2018;1966,78;2840,93;350,43;523,72
14.03.2018;1672,88;2407,96;306,12;428,96
15.03.2018;1843,19;2690,64;343,96;503,49
16.03.2018;2229,45;3254,54;405,22;619,87
17.03.2018;2674,75;3825,54;452,47;698,32
18.03.2018;1482,25;2196,45;316,97;397,23
19.03.2018;2077,63;2995,92;361,06;557,23
20.03.2018;2123,95;3056,16;392,57;539,64
21.03.2018;2083,35;3049,4;392,63;573,42
22.03.2018;1949,37;2750,17;338,77;462,03
23.03.2018;2382,71;3447,65;459,3;605,64
24.03.2018;2587,33;3756,3;486,41;682,56
25.03.2018;949,74;1397,6;213,55;234,31
26.03.2018;2129,86;3030,32;373,33;527,13
27.03.2018;2439,08;3507,32;436,87;631,37
28.03.2018;2505,3;3576,26;449,42;621,54
29.03.2018;3629,22;5273,42;694,12;950,08
30.03.2018;3690,63;5353,31;678,08;984,6
31.03.2018;3769,29;5340,24;673,78;897,17
03.04.2018;2123,69;2968,66;424,76;420,21
04.04.2018;2011,55;2909,58;400,87;497,16
05.04.2018;1968,16;2736,23;356,65;411,42
06.04.2018;2183,61;3116,66;423,58;509,47
07.04.2018;2677,37;3834,9;467,35;690,18
08.04.2018;1722,98;2540,19;380,46;436,75
09.04.2018;2055,83;2957,19;373,24;528,12
10.04.2018;2283,48;3274,03;432,55;558
11.04.2018;2032,95;2950,7;393,85;523,9
12.04.2018;2169,32;3141,08;401,66;570,1
13.04.2018;2550,92;3711,75;488,61;672,22
14.04.2018;2833,32;4035,74;494,99;707,43
15.04.2018;1961;2891,27;394,3;535,97
16.04.2018;2197,41;3179,02;405,11;576,5
17.04.2018;1997,59;2881,29;389,67;494,03
18.04.2018;2286,72;3311,25;445,38;579,15
19.04.2018;2075,3;3017,22;394,3;547,62
20.04.2018;2715,7;3970,38;535,44;719,24
21.04.2018;3363,06;4816,65;642,36;811,23
22.04.2018;1992,81;2994,49;446,6;555,08
23.04.2018;2289,79;3235,58;415,31;530,48
24.04.2018;2068,68;2937,94;397,76;471,5
25.04.2018;2115,05;2994,38;393,94;485,39
26.04.2018;3767,15;5400,46;685,2;948,11
27.04.2018;2672,15;3787,22;476,32;638,75
28.04.2018;3235,62;4628,85;557,39;835,84
29.04.2018;1496,1;2176,83;325,46;355,27
30.04.2018;3366,93;4780,18;571,15;842,1
01.05.2018;2316,85;3406,41;504,35;585,21
02.05.2018;3463,29;4897,15;619,43;814,43
03.05.2018;1966,32;2915,78;407,25;542,21
04.05.2018;2937,05;4145,83;542,55;666,23
05.05.2018;3317,53;4840,66;652,96;870,17
06.05.2018;1537,54;2237,83;324,5;375,79
07.05.2018;2572,63;3659,54;445,78;641,13
08.05.2018;2445,57;3448,15;416,21;586,37
09.05.2018;2334,53;3332,45;423,85;574,07
10.05.2018;2672,22;3880,65;482,63;725,8
11.05.2018;2817,14;4081,17;520,39;743,64
12.05.2018;3509,02;5110,99;623,07;978,9
13.05.2018;2527,79;3749,23;526,23;695,21
14.05.2018;2452,13;3495,13;452,34;590,66
