key_ratios;ratios_2011_09;ratios_2012_09;ratios_2013_09;ratios_2014_09;ratios_2015_09;ratios_2016_09;ratios_2017_09;ratios_2018_09;ratios_2019_09;ratios_2020_09;ttm
Revenue USD Mil;108,249;156,508;170,91;182,795;233,715;215,639;229,234;265,595;260,174;274,515;347,155
Gross Margin %;40.5;43.9;37.6;38.6;40.1;39.1;38.5;38.3;37.8;38.2;41.0
Operating Income USD Mil;33,79;55,241;48,999;52,503;71,23;60,024;61,344;70,898;63,93;66,288;99,938
Operating Margin %;31.2;35.3;28.7;28.7;30.5;27.8;26.8;26.7;24.6;24.1;28.8
Net Income USD Mil;25,922;41,733;37,037;39,51;53,394;45,687;48,351;59,531;55,256;57,411;86,802
Earnings Per Share USD;0.99;1.58;1.42;1.61;2.31;2.08;2.30;2.98;2.97;3.28;5.12
Dividends USD;;0.09;0.41;0.45;0.49;0.55;0.60;0.68;0.75;0.80;0.83
Payout Ratio % *;;#######;27.4;28.5;22.3;24.8;26.5;23.7;25.1;23.7;16.3
Shares Mil;26,226;26,47;26,087;24,491;23,172;22,001;21,007;20;18,596;17,528;17,02
Book Value Per Share * USD;2.94;4.25;4.90;5.15;5.63;5.93;6.46;6.04;5.43;4.26;3.89
Operating Cash Flow USD Mil;37,529;50,856;53,666;59,713;81,266;65,824;63,598;77,434;69,391;80,674;104,414
Cap Spending USD Mil;-7,452;-9,402;-9,076;-9,813;-11,488;-13,548;-12,795;-13,313;-10,495;-7,309;-9,646
Free Cash Flow USD Mil;30,077;41,454;44,59;49,9;69,778;52,276;50,803;64,121;58,896;73,365;94,768
Free Cash Flow Per Share * USD;1.15;1.58;1.61;1.93;2.96;2.24;2.41;2.88;3.07;4.04;######
Working Capital USD Mil;17,018;19,111;29,628;5,083;8,768;27,863;27,831;14,473;57,101;38,321;######
