"Date" "Food.Price.Index" "Meat" "Dairy" "Cereals" "Oils" "Sugar"
"1" "01/01/1990" 64.1 73.4 53.5 64.1 44.59 87.9
"2" "01/02/1990" 64.5 76 52.2 62.2 44.5 90.7
"3" "01/03/1990" 63.8 77.8 41.4 61.3 45.75 95.1
"4" "01/04/1990" 65.8 80.4 48.4 62.8 44.02 94.3
"5" "01/05/1990" 64.4 81 39.2 62 45.5 90.4
"6" "01/06/1990" 63.7 83.1 39.2 60.7 43.8 80.3
"7" "01/07/1990" 62.5 83.4 39.2 57.9 43.72 74.2
"8" "01/08/1990" 61.5 83.7 36.8 55.7 45.37 67.6
"9" "01/09/1990" 61 84.5 38.1 52.5 44.79 68.5
"10" "01/10/1990" 61.1 85.4 38.9 52.8 45.72 60.8
"11" "01/11/1990" 61.9 86.2 39.4 52.4 48.3 62.3
"12" "01/12/1990" 61.9 83.7 45.1 52.6 49.6 60.3
"13" "01/01/1991" 60.8 79.8 46.9 53.7 49.47 54.5
"14" "01/02/1991" 61.5 81.7 46.7 55.2 48.42 52.7
"15" "01/03/1991" 62 80.7 45.8 57.3 48.75 56.6
"16" "01/04/1991" 60.7 79.5 42.8 57.6 47 52.7
"17" "01/05/1991" 60.6 81.2 42.1 57.2 46.56 46.9
"18" "01/06/1991" 61 80.4 43.4 56.5 46.73 56.9
"19" "01/07/1991" 61.8 82.6 40.4 55.7 48.22 63.8
"20" "01/08/1991" 61.4 79.4 41.7 58.3 48.81 58.5
"21" "01/09/1991" 62.1 79.8 45.4 58.8 48.58 57.5
"22" "01/10/1991" 64.3 82.3 48.8 60.6 51.13 56.4
"23" "01/11/1991" 64.4 81.9 50.8 60.8 51.79 53.6
"24" "01/12/1991" 64.1 78.3 50.8 62.7 52.63 55.7
"25" "01/01/1992" 64.8 79.3 52.9 63.9 52.84 51.5
"26" "01/02/1992" 65.7 80.9 52.9 66.5 51.96 48.5
"27" "01/03/1992" 66.1 81.4 52.4 65.9 54.08 50.9
"28" "01/04/1992" 64.5 77.4 52.4 63 53.95 58.5
"29" "01/05/1992" 64.8 78.2 54.6 62 54.02 59.3
