,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own
AACG,1.03,-,-,-,0.01,-0.61,-,-38.80%,-45.00%,154.90%,18.70%
AACQ,-,-,-,-,-,-,-,-,-,-,-
AACQU,,,,,,,,,,,
AACQW,,,,,,,,,,,
AAL,-,-,-,-,-,-13.85,-,219.80%,10.30%,-590.60%,0.10%
AAME,0.34,64.85,-,-,0.26,0.03,-,1.00%,1.10%,210.50%,2.80%
AAOI,0.71,-,-,-,0.57,-3.91,-,-30.50%,-15.60%,3.60%,6.50%
AAON,9.66,44.26,49.02,3.69,0.02,1.44,0.60%,24.10%,18.10%,42.00%,19.10%
AAPL,32.14,37.67,28.49,2.98,1.73,3.27,0.67%,75.20%,31.70%,-3.00%,0.07%
AAWW,0.70,-,6.28,-,1.17,-9.16,-,-12.40%,-5.00%,19.90%,1.30%
AAXJ,-,-,-,-,-,-,1.54%,-,-,-,-
AAXN,8.79,-,96.06,-,0.00,-0.66,-,-5.60%,-1.40%,-113.50%,1.70%
ABCB,0.97,10.86,10.13,1.36,0.19,3.30,1.68%,9.20%,15.20%,445.10%,1.00%
ABCM,-,-,-,-,-,-,0.78%,-,-,-,-
ABEO,1.27,-,-,-,0.02,-1.04,-,-62.00%,-,77.90%,2.30%
ABIO,0.51,-,-,-,0.00,-2.65,-,-31.30%,-,56.70%,0.20%
ABMD,10.12,58.22,52.02,3.40,0.00,4.56,-,18.90%,17.90%,378.60%,1.40%
ABST,-,-,-,-,-,-,2.36%,-,-,-24.60%,0.43%
ABTX,0.91,15.84,13.90,-,0.35,2.11,1.20%,6.00%,17.90%,39.00%,0.70%
ABUS,-,-,-,-,-,-1.24,-,128.90%,203.20%,81.70%,1.60%
ACACU,-,-,-,-,-,-,-,-,-,-,-
ACAD,13.22,-,-,-,0.00,-1.71,-,-40.30%,-35.40%,-86.10%,0.27%
ACAM,1.30,465.45,-,-,0.00,0.02,-,0.30%,-,-115.60%,-
ACAMU,,,,,,,,,,,
ACAMW,,,,,,,,,,,
ACBI,0.93,16.31,11.27,1.55,0.22,0.91,-,5.90%,18.70%,20.70%,1.60%
ACCD,-,-,-,-,-,-2.76,-,-,20.50%,-448.40%,1.30%
ACER,2.95,-,-,-,0.00,-2.07,-,-161.00%,-,1.00%,16.30%
ACET,0.54,-,-,-,0.00,-12.56,-,-68.50%,-,58.70%,0.40%
ACEV,-,-,-,-,-,-,-,-,-,-,-
ACEVU,-,-,-,-,-,-,-,-,-,-,-
ACEVW,,,,,,,,,,,
ACGL,1.14,11.86,11.89,2.24,0.26,2.79,-,10.40%,13.10%,8.00%,2.93%
ACGLO,,,,,,,,,,,
ACGLP,,,,,,,,,,,
ACHC,1.43,37.35,15.62,2.94,1.22,1.13,-,4.00%,5.20%,-14.10%,1.61%
ACHV,0.97,-,-,-,0.00,-8.76,-,-72.10%,-,87.40%,0.49%
ACIA,4.45,43.88,24.78,-,0.00,1.60,-,11.10%,3.90%,58.70%,0.20%
ACIU,1.56,-,-,-,0.01,-0.95,-,-24.20%,16.20%,-204.80%,46.99%
ACIW,3.85,72.49,43.37,6.04,1.13,0.51,-,5.50%,4.70%,-49.90%,0.80%
ACLS,2.02,21.00,17.72,1.05,0.10,1.32,-,10.30%,4.30%,1432.00%,0.70%
ACMR,16.37,121.70,50.99,6.09,0.29,0.67,-,19.90%,16.50%,-101.90%,2.50%
ACNB,0.86,12.58,-,-,0.00,2.02,3.93%,6.90%,28.10%,-12.80%,3.00%
ACOR,0.12,0.89,-,0.03,0.73,0.92,-,16.10%,-48.20%,100.80%,1.50%
ACRS,3.65,-,-,-,0.27,-1.36,-,-103.50%,-158.70%,55.50%,3.90%
ACRX,-,-,-,-,-,-0.56,-,85.50%,340.90%,36.60%,1.10%
ACST,3.48,-,-,-,-,-0.07,-,-,-,-,8.64%
ACTC,,,,,,,,,,,
ACTCU,-,-,-,-,-,-,-,-,-,-,-
ACTCW,,,,,,,,,,,
